Question Number,Question (Thai),Enneagram Type,Question Category
69,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 9: The Peacemaker,Shadow
70,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 9: The Peacemaker,Behavior
71,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 9: The Peacemaker,Behavior
72,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 9: The Peacemaker,Behavior
73,ฉันรู้สึกว่าต้องยึดมั่นในบางสิ่งที่สำคัญ,Type 7: The Enthusiast,Core
74,ฉันรู้สึกว่าชีวิตควรมีความหมายหรือเป้าหมายเฉพาะ,Type 7: The Enthusiast,Core
75,ฉันมักจะมีแรงผลักดันที่คนอื่นอาจมองไม่เห็น,Type 7: The Enthusiast,Core
76,ฉันพยายามซ่อนความกลัวหรือความไม่มั่นใจของตัวเอง,Type 7: The Enthusiast,Shadow
77,ฉันมีความรู้สึกบางอย่างที่ไม่กล้าเปิดเผย,Type 7: The Enthusiast,Shadow
78,ฉันรู้สึกว่าตัวเองมีจุดเปราะบางที่ไม่ควรให้ใครรู้,Type 7: The Enthusiast,Shadow
79,ฉันตอบสนองต่อปัญหาแบบอัตโนมัติเสมอ,Type 7: The Enthusiast,Behavior
80,ฉันมีวิธีการเฉพาะในการรับมือกับความเครียด,Type 7: The Enthusiast,Behavior
81,ฉันมีรูปแบบพฤติกรรมที่เกิดซ้ำแม้จะพยายามเปลี่ยน,Type 7: The Enthusiast,Behavior
